subwayId,statnNm,arvlMsg2,arvlMsg3,arvlCd,barvlDt,bstatnNm,updnLine,lstcarAt,status,code,message,statnId,updnLine_realtime,status_realtime,code_realtime,message_realtime
1호선,송내,[5]번째 전역 (온수),온수,운행중,0,인천,하행,0,200,INFO-000,정상 처리되었습니다.,1001000150,0,200,INFO-000,정상 처리되었습니다.
1호선,신도림,[5]번째 전역 (용산),용산,운행중,0,신창 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001000140,1,200,INFO-000,정상 처리되었습니다.
1호선,주안,[2]번째 전역 (제물포),제물포,운행중,0,동두천 (급행),상행,0,200,INFO-000,정상 처리되었습니다.,1001000156,1,200,INFO-000,정상 처리되었습니다.
1호선,동두천중앙,[2]번째 전역 (덕정),덕정,운행중,0,동두천 (급행),상행,0,200,INFO-000,정상 처리되었습니다.,1001000103,1,200,INFO-000,정상 처리되었습니다.
1호선,종각,[7]번째 전역 (청량리),청량리,운행중,0,신창 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001000131,1,200,INFO-000,정상 처리되었습니다.
1호선,가산디지털단지,[7]번째 전역 (용산),용산,운행중,0,신창,하행,0,200,INFO-000,정상 처리되었습니다.,1001080142,0,200,INFO-000,정상 처리되었습니다.
1호선,백운,[7]번째 전역 (역곡),역곡,운행중,0,동인천 (특급),하행,0,200,INFO-000,정상 처리되었습니다.,1001000153,1,200,INFO-000,정상 처리되었습니다.
1호선,지행,[7]번째 전역 (연천),연천,운행중,0,광운대,하행,0,200,INFO-000,정상 처리되었습니다.,1001000104,0,200,INFO-000,정상 처리되었습니다.
1호선,녹천,[2]번째 전역 (광운대),광운대,운행중,0,소요산,상행,0,200,INFO-000,정상 처리되었습니다.,1001000117,1,200,INFO-000,정상 처리되었습니다.
1호선,동묘앞,[5]번째 전역 (외대앞),외대앞,운행중,0,신창,하행,0,200,INFO-000,정상 처리되었습니다.,1001000127,0,200,INFO-000,정상 처리되었습니다.
1호선,영등포,[5]번째 전역 (남영),남영,운행중,0,서동탄,하행,0,200,INFO-000,정상 처리되었습니다.,1001000139,0,200,INFO-000,정상 처리되었습니다.
1호선,서울,[5]번째 전역 (동대문),동대문,운행중,0,병점,하행,0,200,INFO-000,정상 처리되었습니다.,1001000133,1,200,INFO-000,정상 처리되었습니다.
1호선,부개,[5]번째 전역 (역곡),역곡,운행중,0,동인천 (특급),하행,0,200,INFO-000,정상 처리되었습니다.,1001000151,1,200,INFO-000,정상 처리되었습니다.
1호선,인천,[5]번째 전역 (주안),주안,운행중,0,동인천 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001000161,0,200,INFO-000,정상 처리되었습니다.
1호선,동두천중앙,[6]번째 전역 (연천),연천,운행중,0,광운대,하행,0,200,INFO-000,정상 처리되었습니다.,1001000103,1,200,INFO-000,정상 처리되었습니다.
1호선,녹양,[5]번째 전역 (동두천중앙),동두천중앙,운행중,0,인천 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001000108,1,200,INFO-000,정상 처리되었습니다.
1호선,도화,[4]번째 전역 (백운),백운,운행중,0,인천,하행,0,200,INFO-000,정상 처리되었습니다.,1001000157,0,200,INFO-000,정상 처리되었습니다.
1호선,동대문,[4]번째 전역 (청량리),청량리,운행중,0,신창 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001000128,1,200,INFO-000,정상 처리되었습니다.
1호선,영등포,[4]번째 전역 (용산),용산,운행중,0,신창 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001000139,0,200,INFO-000,정상 처리되었습니다.
1호선,신설동,[4]번째 전역 (외대앞),외대앞,운행중,0,신창,하행,0,200,INFO-000,정상 처리되었습니다.,1001000126,1,200,INFO-000,정상 처리되었습니다.
1호선,대방,[2]번째 전역 (영등포),영등포,운행중,0,연천,상행,0,200,INFO-000,정상 처리되었습니다.,1001000137,0,200,INFO-000,정상 처리되었습니다.
1호선,오산,[3]번째 전역 (병점),병점,운행중,0,천안,하행,0,200,INFO-000,정상 처리되었습니다.,1001080160,0,200,INFO-000,정상 처리되었습니다.
1호선,신길,[4]번째 전역 (남영),남영,운행중,0,서동탄,하행,0,200,INFO-000,정상 처리되었습니다.,1001000138,0,200,INFO-000,정상 처리되었습니다.
1호선,송내,[4]번째 전역 (역곡),역곡,운행중,0,동인천 (특급),하행,0,200,INFO-000,정상 처리되었습니다.,1001000150,0,200,INFO-000,정상 처리되었습니다.
1호선,동인천,[4]번째 전역 (주안),주안,운행중,0,동인천 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001000160,1,200,INFO-000,정상 처리되었습니다.
1호선,부개,[2]번째 전역 (백운),백운,운행중,0,의정부,상행,0,200,INFO-000,정상 처리되었습니다.,1001000151,1,200,INFO-000,정상 처리되었습니다.
1호선,남영,[3]번째 전역 (대방),대방,운행중,0,동두천 (급행),상행,0,200,INFO-000,정상 처리되었습니다.,1001000134,0,200,INFO-000,정상 처리되었습니다.
1호선,대방,[3]번째 전역 (남영),남영,운행중,0,서동탄,하행,0,200,INFO-000,정상 처리되었습니다.,1001000137,0,200,INFO-000,정상 처리되었습니다.
1호선,종각,[3]번째 전역 (동대문),동대문,운행중,0,병점,하행,0,200,INFO-000,정상 처리되었습니다.,1001000131,1,200,INFO-000,정상 처리되었습니다.
1호선,주안,[3]번째 전역 (백운),백운,운행중,0,인천,하행,0,200,INFO-000,정상 처리되었습니다.,1001000156,1,200,INFO-000,정상 처리되었습니다.
1호선,신길,[3]번째 전역 (용산),용산,운행중,0,신창 (급행),하행,0,200,INFO-000,정상 처리되었습니다.,1001000138,0,200,INFO-000,정상 처리되었습니다.
